run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
SRR31465418	SAMN45004436	SRX26834194	PRJNA1189573	MIMARKS Survey related sample from metagenome	Skin4b	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: skin microbiome	65_S65_L001	Illumina MiSeq sequencing: skin microbiome	Skin, blood, stool microbiome in rosacea	65_S65_L001_R1_001.fastq.gz	147950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/018/SRR31465418/SRR31465418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/018/SRR31465418/SRR31465418_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Skin4b	patient
SRR31465419	SAMN45004435	SRX26834193	PRJNA1189573	MIMARKS Survey related sample from metagenome	Stool9	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: stool microbiome	64_S64_L001	Illumina MiSeq sequencing: stool microbiome	Skin, blood, stool microbiome in rosacea	64_S64_L001_R1_001.fastq.gz	163268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/019/SRR31465419/SRR31465419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/019/SRR31465419/SRR31465419_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Stool9	patient
SRR31465428	SAMN45004427	SRX26834184	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood15	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	56_S56_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	56_S56_L001_R1_001.fastq.gz	154183	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/028/SRR31465428/SRR31465428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/028/SRR31465428/SRR31465428_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood15	patient
SRR31465436	SAMN45004420	SRX26834176	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood3	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	49_S49_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	49_S49_L001_R1_001.fastq.gz	164061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/036/SRR31465436/SRR31465436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/036/SRR31465436/SRR31465436_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood3	patient
SRR31465437	SAMN45004419	SRX26834175	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood22	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	48_S48_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	48_S48_L001_R1_001.fastq.gz	160049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/037/SRR31465437/SRR31465437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/037/SRR31465437/SRR31465437_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood22	patient
SRR31465439	SAMN45004417	SRX26834173	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood8	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	46_S46_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	46_S46_L001_R1_001.fastq.gz	118651	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/039/SRR31465439/SRR31465439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/039/SRR31465439/SRR31465439_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood8	patient
SRR31465441	SAMN45004415	SRX26834171	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood4	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	44_S44_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	44_S44_L001_R1_001.fastq.gz	126766	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/041/SRR31465441/SRR31465441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/041/SRR31465441/SRR31465441_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood4	patient
SRR31465443	SAMN45004413	SRX26834169	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood6	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	42_S42_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	42_S42_L001_R1_001.fastq.gz	136156	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/043/SRR31465443/SRR31465443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/043/SRR31465443/SRR31465443_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood6	patient
SRR31465446	SAMN45004411	SRX26834166	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood17	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	40_S40_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	40_S40_L001_R1_001.fastq.gz	121099	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/046/SRR31465446/SRR31465446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/046/SRR31465446/SRR31465446_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood17	patient
SRR31465447	SAMN45004410	SRX26834165	PRJNA1189573	MIMARKS Survey related sample from metagenome	Blood16	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: blood microbiome	39_S39_L001	Illumina MiSeq sequencing: blood microbiome	Skin, blood, stool microbiome in rosacea	39_S39_L001_R1_001.fastq.gz	88739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/047/SRR31465447/SRR31465447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/047/SRR31465447/SRR31465447_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Blood16	patient
SRR31465451	SAMN45004406	SRX26834161	PRJNA1189573	MIMARKS Survey related sample from metagenome	Stool27	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: stool microbiome	35_S35_L001	Illumina MiSeq sequencing: stool microbiome	Skin, blood, stool microbiome in rosacea	35_S35_L001_R1_001.fastq.gz	170614	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/051/SRR31465451/SRR31465451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/051/SRR31465451/SRR31465451_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Stool27	patient
SRR31465464	SAMN45004394	SRX26834148	PRJNA1189573	MIMARKS Survey related sample from metagenome	Stool24	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: stool microbiome	23_S23_L001	Illumina MiSeq sequencing: stool microbiome	Skin, blood, stool microbiome in rosacea	23_S23_L001_R1_001.fastq.gz	160900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/064/SRR31465464/SRR31465464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/064/SRR31465464/SRR31465464_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Stool24	patient
SRR31465466	SAMN45004392	SRX26834146	PRJNA1189573	MIMARKS Survey related sample from metagenome	Stool16	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: stool microbiome	21_S21_L001	Illumina MiSeq sequencing: stool microbiome	Skin, blood, stool microbiome in rosacea	21_S21_L001_R1_001.fastq.gz	155088	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/066/SRR31465466/SRR31465466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/066/SRR31465466/SRR31465466_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Stool16	patient
SRR31465467	SAMN45004374	SRX26834145	PRJNA1189573	MIMARKS Survey related sample from metagenome	Skin16	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: skin microbiome	3_pskin16	Illumina MiSeq sequencing: skin microbiome	Skin, blood, stool microbiome in rosacea	3_pskin16_R1_001.fastq.gz	13059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/067/SRR31465467/SRR31465467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/067/SRR31465467/SRR31465467_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Skin16	patient
SRR31465469	SAMN45004390	SRX26834143	PRJNA1189573	MIMARKS Survey related sample from metagenome	Stool26	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: stool microbiome	19_S19_L001	Illumina MiSeq sequencing: stool microbiome	Skin, blood, stool microbiome in rosacea	19_S19_L001_R1_001.fastq.gz	105185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/069/SRR31465469/SRR31465469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/069/SRR31465469/SRR31465469_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Stool26	patient
SRR31465476	SAMN45004383	SRX26834136	PRJNA1189573	MIMARKS Survey related sample from metagenome	Skin22	Keywords: GSC:MIxS MIMARKS:6.0	Illumina MiSeq sequencing: skin microbiome	12_S12_L001	Illumina MiSeq sequencing: skin microbiome	Skin, blood, stool microbiome in rosacea	12_S12_L001_R1_001.fastq.gz	152842	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/076/SRR31465476/SRR31465476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/076/SRR31465476/SRR31465476_2.fastq.gz	MIMARKS Survey related sample from metagenome	Keywords: GSC:MIxS;MIMARKS:6.0	Skin22	patient
