run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
SRR19996188	SAMN29515341	SRX16037336	PRJNA856121	S012010090008	S012010090008	S012010090008	NextSeq 550 sequencing: WGS of human metagenome	S012010090008	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012010090008.fastq.gz	17842420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/088/SRR19996188/SRR19996188.fastq.gz	S012010090008		S012010090008	
SRR19996191	SAMN29515340	SRX16037333	PRJNA856121	S012010090007	S012010090007	S012010090007	NextSeq 550 sequencing: WGS of human metagenome	S012010090007	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012010090007.fastq.gz	58573745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/091/SRR19996191/SRR19996191.fastq.gz	S012010090007		S012010090007	
SRR19996194	SAMN29515400	SRX16037330	PRJNA856121	S012012180028	S012012180028	S012012180028	NextSeq 550 sequencing: WGS of human metagenome	S012012180028	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180028.fastq.gz	17284328	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/094/SRR19996194/SRR19996194.fastq.gz	S012012180028		S012012180028	
SRR19996195	SAMN29515399	SRX16037329	PRJNA856121	S012012180027	S012012180027	S012012180027	NextSeq 550 sequencing: WGS of human metagenome	S012012180027	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180027.fastq.gz	18907610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/095/SRR19996195/SRR19996195.fastq.gz	S012012180027		S012012180027	
SRR19996199	SAMN29515395	SRX16037325	PRJNA856121	S012012180023	S012012180023	S012012180023	NextSeq 550 sequencing: WGS of human metagenome	S012012180023	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180023.fastq.gz	20581514	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/099/SRR19996199/SRR19996199.fastq.gz	S012012180023		S012012180023	
SRR19996200	SAMN29515394	SRX16037324	PRJNA856121	S012012180022	S012012180022	S012012180022	NextSeq 550 sequencing: WGS of human metagenome	S012012180022	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180022.fastq.gz	18928296	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/000/SRR19996200/SRR19996200.fastq.gz	S012012180022		S012012180022	
SRR19996204	SAMN29515391	SRX16037320	PRJNA856121	S012012180019	S012012180019	S012012180019	NextSeq 550 sequencing: WGS of human metagenome	S012012180019	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180019.fastq.gz	14429520	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/004/SRR19996204/SRR19996204.fastq.gz	S012012180019		S012012180019	
SRR19996205	SAMN29515390	SRX16037319	PRJNA856121	S012012180018	S012012180018	S012012180018	NextSeq 550 sequencing: WGS of human metagenome	S012012180018	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180018.fastq.gz	14066396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/005/SRR19996205/SRR19996205.fastq.gz	S012012180018		S012012180018	
SRR19996206	SAMN29515389	SRX16037318	PRJNA856121	S012012180017	S012012180017	S012012180017	NextSeq 550 sequencing: WGS of human metagenome	S012012180017	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180017.fastq.gz	17375988	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/006/SRR19996206/SRR19996206.fastq.gz	S012012180017		S012012180017	
SRR19996208	SAMN29515387	SRX16037316	PRJNA856121	S012012180015	S012012180015	S012012180015	NextSeq 550 sequencing: WGS of human metagenome	S012012180015	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180015.fastq.gz	19251758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/008/SRR19996208/SRR19996208.fastq.gz	S012012180015		S012012180015	
SRR19996210	SAMN29515385	SRX16037314	PRJNA856121	S012012180013	S012012180013	S012012180013	NextSeq 550 sequencing: WGS of human metagenome	S012012180013	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012012180013.fastq.gz	14555892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/010/SRR19996210/SRR19996210.fastq.gz	S012012180013		S012012180013	
SRR19996217	SAMN29515379	SRX16037307	PRJNA856121	S012010090046	S012010090046	S012010090046	NextSeq 550 sequencing: WGS of human metagenome	S012010090046	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012010090046.fastq.gz	18251999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/017/SRR19996217/SRR19996217.fastq.gz	S012010090046		S012010090046	
SRR19996221	SAMN29515375	SRX16037303	PRJNA856121	S012010090042	S012010090042	S012010090042	NextSeq 550 sequencing: WGS of human metagenome	S012010090042	NextSeq 550 sequencing: WGS of human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	S012010090042.fastq.gz	21933685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR199/021/SRR19996221/SRR19996221.fastq.gz	S012010090042		S012010090042	
