run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
DRR574451	SAMD00794608	DRX557918	PRJDB18292	16S_Rosacea_10	SAMD00794608	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794608		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794608	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574451	11356	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574451/DRR574451.fastq.gz	16S_Rosacea_10	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794608	rosacea;lesion;pos
DRR574453	SAMD00794610	DRX557920	PRJDB18292	16S_Rosacea_12	SAMD00794610	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794610		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794610	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574453	15978	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574453/DRR574453.fastq.gz	16S_Rosacea_12	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794610	rosacea;lesion;pos
DRR574456	SAMD00794613	DRX557923	PRJDB18292	16S_Rosacea_15	SAMD00794613	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794613		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794613	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574456	16686	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574456/DRR574456.fastq.gz	16S_Rosacea_15	Skin swab sample of non-lesional skin pre-treatment	SAMD00794613	rosacea;lesion
DRR574457	SAMD00794614	DRX557924	PRJDB18292	16S_Rosacea_16	SAMD00794614	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794614		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794614	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574457	11065	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574457/DRR574457.fastq.gz	16S_Rosacea_16	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794614	rosacea;lesion;pos
DRR574459	SAMD00794616	DRX557926	PRJDB18292	16S_Rosacea_18	SAMD00794616	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794616		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794616	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574459	28667	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574459/DRR574459.fastq.gz	16S_Rosacea_18	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794616	rosacea;lesion;pos
DRR574460	SAMD00794617	DRX557927	PRJDB18292	16S_Rosacea_19	SAMD00794617	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794617		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794617	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574460	49824	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574460/DRR574460.fastq.gz	16S_Rosacea_19	Skin swab sample of non-lesional skin pre-treatment	SAMD00794617	rosacea;lesion
DRR574443	SAMD00794600	DRX557910	PRJDB18292	16S_Rosacea_2	SAMD00794600	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794600		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794600	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574443	10435	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574443/DRR574443.fastq.gz	16S_Rosacea_2	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794600	rosacea;lesion;pos
DRR574444	SAMD00794601	DRX557911	PRJDB18292	16S_Rosacea_3	SAMD00794601	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794601		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794601	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574444	8660	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574444/DRR574444.fastq.gz	16S_Rosacea_3	Skin swab sample of non-lesional skin pre-treatment	SAMD00794601	rosacea;lesion
DRR574452	SAMD00794609	DRX557919	PRJDB18292	16S_Rosacea_11	SAMD00794609	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794609		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794609	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574452	12870	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574452/DRR574452.fastq.gz	16S_Rosacea_11	Skin swab sample of non-lesional skin pre-treatment	SAMD00794609	rosacea;lesion
DRR574455	SAMD00794612	DRX557922	PRJDB18292	16S_Rosacea_14	SAMD00794612	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794612		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794612	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574455	11382	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574455/DRR574455.fastq.gz	16S_Rosacea_14	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794612	rosacea;lesion;pos
DRR574458	SAMD00794615	DRX557925	PRJDB18292	16S_Rosacea_17	SAMD00794615	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794615		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794615	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574458	13106	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574458/DRR574458.fastq.gz	16S_Rosacea_17	Skin swab sample of lesional skin pre-treatment	SAMD00794615	rosacea;lesion
DRR574461	SAMD00794618	DRX557928	PRJDB18292	16S_Rosacea_20	SAMD00794618	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794618		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794618	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574461	18472	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574461/DRR574461.fastq.gz	16S_Rosacea_20	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794618	rosacea;lesion;pos
DRR574462	SAMD00794619	DRX557929	PRJDB18292	16S_Rosacea_21	SAMD00794619	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794619		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794619	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574462	22217	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574462/DRR574462.fastq.gz	16S_Rosacea_21	Skin swab sample of lesional skin pre-treatment	SAMD00794619	rosacea;lesion
DRR574463	SAMD00794620	DRX557930	PRJDB18292	16S_Rosacea_22	SAMD00794620	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794620		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794620	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574463	9140	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574463/DRR574463.fastq.gz	16S_Rosacea_22	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794620	rosacea;lesion;pos
