run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
SRR21574821	SAMN30822198	SRX17577016	PRJNA879945	human eye metagenome	XBS73	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS73	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS73.fastq	66385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/021/SRR21574821/SRR21574821.fastq.gz	human eye metagenome		XBS73	patient;demodex
SRR21574825	SAMN30822195	SRX17577012	PRJNA879945	human eye metagenome	XBS70	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS70	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS70.fastq	75986	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/025/SRR21574825/SRR21574825.fastq.gz	human eye metagenome		XBS70	patient;demodex
SRR21574833	SAMN30822161	SRX17577004	PRJNA879945	human eye metagenome	XBS10	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS10	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS10.fastq	53177	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/033/SRR21574833/SRR21574833.fastq.gz	human eye metagenome		XBS10	patient;demodex
SRR21574839	SAMN30822182	SRX17576998	PRJNA879945	human eye metagenome	XBS52	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS52	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS52.fastq	65230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/039/SRR21574839/SRR21574839.fastq.gz	human eye metagenome		XBS52	patient;demodex
SRR21574840	SAMN30822181	SRX17576997	PRJNA879945	human eye metagenome	XBS51	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS51	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS51.fastq	66414	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/040/SRR21574840/SRR21574840.fastq.gz	human eye metagenome		XBS51	patient;demodex
SRR21574842	SAMN30822179	SRX17576995	PRJNA879945	human eye metagenome	XBS49	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS49	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS49.fastq	59315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/042/SRR21574842/SRR21574842.fastq.gz	human eye metagenome		XBS49	patient;demodex
SRR21574845	SAMN30822177	SRX17576992	PRJNA879945	human eye metagenome	XBS45	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS45	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS45.fastq	73053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/045/SRR21574845/SRR21574845.fastq.gz	human eye metagenome		XBS45	patient;demodex
SRR21574846	SAMN30822176	SRX17576991	PRJNA879945	human eye metagenome	XBS43	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS43	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS43.fastq	33427	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/046/SRR21574846/SRR21574846.fastq.gz	human eye metagenome		XBS43	patient;demodex
SRR21574849	SAMN30822173	SRX17576988	PRJNA879945	human eye metagenome	XBS36	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS36	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS36.fastq	62218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/049/SRR21574849/SRR21574849.fastq.gz	human eye metagenome		XBS36	patient;demodex
SRR21574852	SAMN30822170	SRX17576985	PRJNA879945	human eye metagenome	XBS33	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS33	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS33.fastq	64134	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/052/SRR21574852/SRR21574852.fastq.gz	human eye metagenome		XBS33	patient;demodex
SRR21574853	SAMN30822169	SRX17576984	PRJNA879945	human eye metagenome	XBS32	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS32	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS32.fastq	47472	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/053/SRR21574853/SRR21574853.fastq.gz	human eye metagenome		XBS32	patient;demodex
SRR21574856	SAMN30822158	SRX17576981	PRJNA879945	human eye metagenome	XBS01	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS01	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS01.fastq	43606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/056/SRR21574856/SRR21574856.fastq.gz	human eye metagenome		XBS01	patient;demodex
SRR21574815	SAMN30822167	SRX17577022	PRJNA879945	human eye metagenome	XBS23	human eye metagenome	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	XBS23	Illumina NovaSeq 6000 sequencing: RNA-Seq of microbiota: ocular surface in patients with Demodex blepharitis	ocular surface microbiota in patients with Demodex blepharitis	XBS23.fastq	50072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/015/SRR21574815/SRR21574815.fastq.gz	human eye metagenome		XBS23	patient;demodex
